Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation,Difference
USA,AL,2022,12,Female,17,Right-Handed,179.95247933884298,24,162.30165289256198,1,Car,2,,0.44,Walking/Hiking,583,797,310,524,856,1000,24,Same length,170,170,Same length,June,Fall,Yes,No,No favorite,Water,Other,7,9,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",30,27,20,1,1,1,10,0,20,5,10,10,15,5,Very little,Some college,Pop,Invisibility,Happy,Relative,Health,127.0
USA,AL,2015,12,Female,17,Right-Handed,179.95247933884298,19.4,162.30165289256198,1,Car,25,0.798,42,Soccer,,,,,,,19.2,,7,7,Ring finger,July,Summer,No,No,Meat,Tea,Other,8,10,4,No internet connection,Text messaging,6,5,7,0,4,10,2,0,4,1,0,3,0,6,A lot,Graduate degree,Country,Fly,Happy,Religious figure,Health,125.0
USA,AL,2022,12,Female,17,Left-Handed,179.95247933884298,24.6,162.30165289256198,2,Car,5,0.057,85,Walking/Hiking,2,4,3,1,6,5,24.6,Same length,52,16.5,Index finger,April,Spring,No,No,Meat,Water,Mathematics and statistics,6,5,4,Yes - broadband connection,Cell phone,20,6,1,2,4,5,3,0,1,1,4,1,6,2,A lot,Graduate degree,Reggae,Fly,Happy,Relative,Health,124.5
USA,AL,2015,12,Male,18,Left-Handed,179.95247933884298,2.5,162.30165289256198,2,Car,10,.542,35,Other,,,,,,,2,Right foot,7,9,Ring finger,November,Winter,No,No,Seafood,Milk,Computers and technology,4,2,3,Yes - broadband connection,Internet chat or instant messaging,9,8,3,0,1,0,5,14,6,2,12,0,6,1,Some,Other,Heavy metal,Freeze time,Happy,Musician or singer,"Arts, culture, sports",124.03999999999999
USA,AL,2023,12,Male,18,Right-Handed,179.95247933884298,26,162.30165289256198,1,Skateboard/Scooter/Rollerblade,15,0.315,44,Rowing,,,,,,,26,Right foot,6,6,Same length,October,Summer,No,No,Meat,Water,Physical education,8,6,6,Yes - dial-up connection,"Myspace, Facebook, other social networking sites, or blog",35,20,24/7,24/7,1,5,4,3,4,5,3,6,3,6,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Business person,Religious,118.0
USA,AL,2023,12,Female,17,Right-Handed,179.95247933884298,27.5,162.30165289256198,1,Walk,2,.792,58,Other,1000,800,400,100,45,80,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0
USA,AL,2023,12,Female,17,Right-Handed,179.95247933884298,27.5,162.30165289256198,1,Walk,2,.792,58,Other,1000,800,400,100,45,80,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0
USA,AL,2023,12,Female,17,Right-Handed,179.95247933884298,27.5,162.30165289256198,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0
USA,AL,2023,12,Female,18,Right-Handed,179.95247933884298,24,162.30165289256198,1,Car,2,0.466,55,Other,952,963,845,813,305,615,23.5,Right foot,70,70,Same length,February,Spring,No,No,Salads,Water,Art,6,10,3,Yes - other,Text messaging,50,20,12,0,1,3,2,0,16,20,19,0,4,3,A lot,Undergraduate degree,Rock and roll,Telepathy,Rich,Relative,International aid,116.0
USA,MA,2022,12,Female,17,Left-Handed,179.95247933884298,21.6,162.30165289256198,2,Car,15,28,55,Lacrosse,6,4,7,5,1,2,21.6,Same length,16,20,Same length,March,Fall,Yes,No,No favorite,Water,English,6,8,6,Yes - other,Cell phone,13,30,1,2,3 ,,,,,,,,,,,,,,,,,115.0
USA,FL,2019,12,Male,16,Ambidextrous,179.95247933884298,28,162.30165289256198,2,Car,12,0.365,39.0,Soccer,900.0,600.0,500.0,900.0,400.0,700.0,28,Same length,79.0,76,Index finger,June,Spring,No,No,Meat,Milk,Mathematics and statistics,7,8,4,Yes - broadband connection,Cell phone,64,72,8,3,6,5,10,5.0,25.0,20,100,30,0.0,10.0,Some,Graduate degree,Rap/Hip hop,Fly,Rich,,Environment,115.0
USA,AL,2022,12,Male,18,Left-Handed,179.95247933884298,34,162.30165289256198,1,Car,30,0.36,46,,900,1000,500,400,600,700,69,Same length,70,80,Ring finger,October,Spring,No,No,Pizza/Pasta,Water,History,8,9,4,Yes - broadband connection,In person,0,0,7,0,0,7,7,7,7,7,7,77,7,7,Some,Undergraduate degree,Rap/Hip hop,Invisibility,Famous,Relative,Health,114.0
USA,FL,2024,11,Female,17,Right-Handed,179.95247933884298,21,162.30165289256198,1,Car,10,0.792,43.0,Other,1000.0,990.0,750.0,990.0,400.0,450.0,21,Same length,7.8,7.3,Index finger,October,Winter,No,No,Breads/Sandwiches,Water,Music,6,10,5,Yes - other,Text messaging,35,130,8,0,2,8,1,0.0,7.0,3,0,2,5.0,3.0,A lot,Graduate degree,Other,Freeze time,Happy,Religious figure,Environment,110.5
USA,AL,2023,12,Female,18,Right-Handed,179.95247933884298,20,162.30165289256198,1,Car,15,0.364,49,Martial Arts,0,500,500,500,500,500,20,Same length,90,100,Ring finger,October,Summer,Yes,No,Pizza/Pasta,Soft drink (caffeinated),History,6,8,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,50,24,10,3,3,1,3,15,15,15,15,20,5,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Doctor or nurse,"Wildlife, animals",110.0
USA,MA,2022,12,Male,17,Right-Handed,179.95247933884298,30,162.30165289256198,1,Car,5,.336,34,Football (American),790,790,175,175,480,800,30,Same length,80,75,Index finger,May,Summer,No,No,Poultry,Water,Physical education,7,8,4,Yes - dial-up connection,Text messaging,300,300,20,2,0,10,5,0,30,30,50,0,30,0,Very little,Graduate degree,Rap/Hip hop,Fly,Healthy,Relative,Environment,110.0
USA,FL,2023,11,Male,16,Right-Handed,179.95247933884298,29,162.30165289256198,1,Car,10,0.379,51.0,Basketball,1000.0,1000.0,1000.0,1000.0,500.0,500.0,40,Same length,25.0,25,Same length,March,Summer,No,No,Meat,Water,Physical education,5,10,9,Yes - broadband connection,Text messaging,20,20,30,5,0,0,40,10.0,10.0,20,15,0,0.0,15.0,A lot,High school,Rap/Hip hop,Super strength,Rich,Business person,Health,110.0
USA,FL,2020,12,Male,17,Right-Handed,179.95247933884298,28,162.30165289256198,2,Car,20,0.24,44.0,Soccer,800.0,800.0,800.0,700.0,900.0,900.0,28,Right foot,50.0,51,Ring finger,August,Summer,Yes,No,Meat,Water,Science,6,8,4,Yes - broadband connection,Text messaging,100,150,8,4,4,4,7,6.0,6.0,6,9,4,0.0,2.0,Some,Graduate degree,Rap/Hip hop,Invisibility,Happy,Friend,International aid,109.0
USA,FL,2017,11,Female,17,Right-Handed,179.95247933884298,27,162.30165289256198,2,Car,7,0.812,45.0,Other,1000.0,1000.0,500.0,500.0,1000.0,1000.0,28,Left foot,75.0,7,Index finger,December,Fall,No,No,Rice/Noodle dishes,Water,Languages,7,9,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",20,30,10,5,7,10,10,0.0,30.0,5,10,20,0.0,1.0,A lot,Other,Rhythm and blues (R&B),Fly,Happy,Relative,Health,109.0
USA,AL,2015,12,Female,17,Left-Handed,179.95247933884298,23,162.30165289256198,1,Car,13,1,50,Golf,,,,,,,24,Left foot,7,8,Ring finger,October,Spring,No,No,Meat,Water,Music,7,10,3,Yes - other,Text messaging,100,70,5,10,5,7,4,1,4,24,4,15,0,2,A lot,Graduate degree,Pop,Invisibility,Happy,Religious figure,Religious,109.0
USA,AL,2015,12,Male,17,Right-Handed,179.95247933884298,28,162.30165289256198,1,Car,5,.718,51,Soccer,800,600,500,700,200,400,28,Same length,100,103,Ring finger,February,Summer,No,No,Desserts,Soft drink (caffeinated),History,8,9,3,Yes - broadband connection,Text messaging,50,60,8,0,2,8,0,6,2,2,6,4,0,0,Very little,Graduate degree,Rock and roll,Invisibility,Happy,Business person,"Arts, culture, sports",107.80000000000001
