Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,AL,2023,"12        ",Female,18,Right-Handed,154.9,23.5,152.4,1,Car,10,0.336,50,Baseball/Softball,500,500,600,600,300,500,23.5,"Same length",7,7.5,"Ring finger",December,Winter,Yes,No,Meat,Water,Other,8,7,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",28,30,5,2,2,4,3,1,7,3,5,2,8,4,"Very little","High school",Country,Telepathy,Happy,Other,"Arts, culture, sports"
USA,AL,2015,"12        ",Male,18,Left-Handed,185,2.5,60.96,2,Car,10,.542,35,Other,,,,,,,2,"Right foot",7,9,"Ring finger",November,Winter,No,No,Seafood,Milk,"Computers and technology",4,2,3,"Yes - broadband connection","Internet chat or instant messaging",9,8,3,0,1,0,5,14,6,2,12,0,6,1,Some,Other,"Heavy metal","Freeze time",Happy,"Musician or singer","Arts, culture, sports"
USA,AL,2022,"12        ",Female,18,Right-Handed,"167 ",25,162,1,Car,20,0.4,50,Walking/Hiking,947,989,877,957,631,717,24,"Right foot",71,70,"Same length",June,Fall,No,No,Pizza/Pasta,Water,English,6,8,3,"Yes - other","Text messaging",100,100,20,6,2,10,1,0,10,20,25,2,15,3,Some,"Graduate degree",Other,Telepathy,Happy,Other,"International aid"
USA,AL,2023,"12        ",Female,17,Right-Handed,167,25,170,1,Car,10,0.545,29,Other,1000,872,497,786,337,380,27,"Left foot","5 1/2",5,"Index finger",March,Spring,Yes,No,Desserts,Tea,History,5,12,,,,,,,,,,,,,,,,,,,,,,,,
USA,AL,2023,"12        ",Female,17,Right-Handed,153,254,153,1,Car,15,0.237,50,Other,497,299,465,545,390,289,254,"Same length",70,70,"Same length",June,Summer,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",6,10,5,"Yes - broadband connection","In person",5,8,20,4,0,6,3,5,3,4,4,1,40,8,Some,Other,Gospel,Invisibility,Healthy,Other,"Wildlife, animals"
USA,AL,2022,"12        ",Male,18,Left-Handed,177.8,25,174,1,Car,5,.28,36,Baseball/Softball,800,800,700,600,400,700,25,"Same length",8,,"Index finger",November,Summer,No,No,Meat,Water,"Physical education",7,9,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,2,8,1,0,10,16,6,5,3,4,4,24,6,"A lot","High school",Pop,Fly,Rich,"Sports person","Wildlife, animals"
USA,AL,2021,"12        ",Male,18,Right-Handed,177.8,24.45,182.8,1,Car,6,.25,40,Soccer,875,850,900,875,750,950,24.13,"Right foot",76.2,76.2,"Same length",October,Summer,No,No,Meat,Water,"Mathematics and statistics",9,11,6,"Yes - broadband connection","Text messaging",45,40,15,0,10,2,20,5,25,5,40,3,15,1,Some,"Undergraduate degree","Rap/Hip hop",Fly,Rich,Relative,Environment
USA,AL,2023,"12        ",Male,17,Right-Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AL,2022,"12        ",Male,18,Ambidextrous,187,28.6,153,1,Car,15,0.728,66,"Football (American)",1000,950,400,800,1000,1000,28.6,"Same length",80,80,"Same length",January,Fall,No,No,Meat,Water,History,6,8,2,"Yes - broadband connection","Text messaging",50,50,3,10,1,1,2,15,25,5,45,1,15,1,"Very little","Graduate degree",Country,Invisibility,Healthy,Actor,Environment
USA,AL,2022,"12        ",Female,18,Left-Handed,172,24,173,1,Car,7,1.3,55,"Martial Arts",900,400,700,500,500,800,24,"Same length",8,7,"Index finger",August,Summer,No,No,Meat,"Soft drink (caffeinated)",Other,7,9,5,"Yes - broadband connection","Internet chat or instant messaging",5,15,9,2,1,3,1,0,20,20,20,5,15,3,"A lot",Other,Country,Invisibility,Happy,Other,"Wildlife, animals"
USA,AL,2015,"12        ",Female,16,Right-Handed,170,26,,1,Car,15,0.84,39,Swimming,,,,,,,26,"Same length",8,7,"Index finger",August,Winter,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",4,10,5,"Yes - broadband connection","Text messaging",300,500,100,2,21,85,10,2,96,96,98,7,4,14,"A lot","Graduate degree","Heavy metal",Telepathy,Happy,Actor,Environment
USA,AL,2022,"12        ",Male,18,Right-Handed,177.8,26,176,1,Car,14,0.260,73,Baseball/Softball,2,2,3,3,3,2,26.4,"Left foot",83,73,"Ring finger",June,Winter,No,No,Meat,Water,Science,8,10,,,,,,,,,,,,,,,,,,,,,,,,
USA,AL,2012,"5         ",Male,11,Right-Handed,137,21.5,128,1,Car,10,.308,38,"Martial Arts",711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AL,2023,"12        ",Female,18,Right-Handed,149,21,142,2,Car,15,4,57,Soccer,1000,1000,1000,1000,0,1000,20,"Right foot",63,71,"Ring finger",December,Fall,Yes,No,Meat,"Soft drink (caffeinated)",Science,6,9,6,"Yes - other","Text messaging",120,120,2,4,0,2,2,0,8,8,10,1,0,3,Some,"Some college","Heavy metal",Telepathy,Rich,Other,Religious
USA,AL,2022,"12        ",Female,15,Right-Handed,160,22.5,159.9,2,Car,20,0.571,47,Skateboarding/Rollerblading,1000,1000,1000,1000,1,500,22.5,"Same length",170,171,"Same length",July,Fall,Yes,No,Desserts,"Energy drink",History,8,3,10,"Yes - other","Text messaging",68,72,5,2,1,1/2,3,2,1,4,4,4,9,0,Some,"High school","Rap/Hip hop",Invisibility,Rich,Relative,Environment
USA,AL,2023,"12        ",Female,17,Right-Handed,5'0,5,121.9,1,Car,15,0.822,55,Basketball,556,1000,1000,556,406,775,5,"Same length",76.2,63.5,"Index finger",July,Winter,Yes,No,Salads,Juice,English,6,8,5,"Yes - broadband connection","Text messaging",75,83,7,8,5,5,0,4,12,12,12,10,0,6,"Very little","Undergraduate degree","Rhythm and blues (R&B)",Telepathy,Rich,"Musician or singer","Wildlife, animals"
USA,AL,2022,"12        ",Female,18,Right-Handed,170,23,158,2,Car,"15 ",".8 ",57,Dancing,400,700,700,800,500,500,23,"Same length",80,80,"Same length",February,Summer,Yes,No,Breads/Sandwiches,Water,Science,7,9,5,"Yes - other","Cell phone",100,80,25,8,3,10,10,0,16,17,5,6,20,4,Some,"Undergraduate degree",Pop,Telepathy,Happy,Relative,Health
USA,AL,2023,"12        ",Male,18,Right-Handed,"5,9",5,5,1,Car,15,1728,567,None,2,2,2,2,2,2,444,"Right foot",345,3456,"Index finger",January,Winter,No,No,Meat,Tea,Music,7,8,4,"Yes - dial-up connection","In person",100,0,2,2,2,2,2,2,2,2,2,2,2,2,Some,"High school","Rhythm and blues (R&B)",Fly,Happy,"Musician or singer","Arts, culture, sports"
USA,AL,2010,"12        ",Male,18,Right-Handed,184,26,186,1,Car,15,.375,61,Other,500,500,200,,900,900,26.5,"Left foot",83,85,"Ring finger",September,Spring,No,No,Seafood,Water,"Mathematics and statistics",7,10,3,"Yes - broadband connection","Cell phone",133,140,16,5,5,10,10,2,2,2,4,6,0,6,Some,"Graduate degree","Rap/Hip hop",Invisibility,Happy,"Sports person",Religious
USA,AL,2010,"12        ",Male,18,Right-Handed,194,34,94,1,Car,4,.282,32,Basketball,0,0,1000,,0,0,34,"Same length",9,8,"Index finger",September,Summer,No,No,Meat,Water,History,8,9,3,"Yes - broadband connection","In person",68,80,25,1,1,5,5,2,2,1,4,6,0,3,None,"Graduate degree","Rap/Hip hop",Fly,Happy,Other,"International aid"
USA,AL,2015,"12        ",Female,17,Right-Handed,162,25,152,1,Car,6,.794,46,Soccer,,,,,,,25,"Same length",75,80,"Ring finger",March,Summer,No,No,Poultry,Water,Music,7,7,6,"Yes - broadband connection","Text messaging",300,300,8,7,3,5,2,0,5,60,5,5,15,5,"A lot","Graduate degree",Pop,Fly,Happy,"Religious figure",Religious
USA,AL,2022,"12        ",Female,17,Right-Handed,5�1,6,57,1,Car,20,0.824,79,Soccer,,,,,,,6,"Same length",12,13,"Ring finger",March,Spring,No,No,Pizza/Pasta,Water,"Social studies",7,10,5,"Yes - dial-up connection","Text messaging",5,20,7,0,0,10,0,5,3,1,5,15,10,3,"A lot","Undergraduate degree",Pop,Telepathy,Healthy,Politician,Environment
USA,AL,2023,"12        ",Female,18,Right-Handed,157.4,23,168,1,Car,10,.52,43,None,727,781,824,444,0,13,23,"Same length",73,72,"Index finger",October,Fall,No,No,Pizza/Pasta,"Soft drink (caffeinated)",Art,5,4,4,"Yes - other","Myspace, Facebook, other social networking sites, or blog",40,100,30,1,0,12,0,60,30,50,90,0,0,3,"A lot","High school","Heavy metal",Telepathy,Rich,Actor,"Arts, culture, sports"
USA,AL,2022,"12        ",Female,16,Right-Handed,101.6,23.8,101.6,2,Walk,10,.322,42,Skateboarding/Rollerblading,1000,800,800,1000,1000,1000,23.8,"Same length",5.08,6.02,"Ring finger",April,Winter,No,No,Seafood,Water,Art,8,10,3,"Yes - broadband connection","Text messaging",20,30,14,0,0,21,0,42,7,14,5,0,0,5,Some,"Graduate degree",Other,Fly,Happy,Other,Health
USA,AL,2013,"11        ",Male,16,Right-Handed,180,27,185,1,Car,10,.284,42,"Table Tennis",1000,556,775,1000,1000,1000,28,"Same length",9,8,"Index finger",June,Summer,No,Yes,Other,Water,Music,6,8,3,"Yes - broadband connection","Text messaging",0,6,30,3,5,15,0,10,20,100,100,5,20,11,"A lot","Graduate degree","Rock and roll","Freeze time",Rich,"Community leader or elder","Wildlife, animals"
USA,AL,2022,"12        ",Female,18,Right-Handed,160,20,54,1,Car,4,0.3,77,Gymnastics,9,8,9,9,8,9,36,"Right foot",8.89,7.62,"Ring finger",October,Fall,No,No,Meat,"Soft drink (caffeinated)",History,6,8,3,"Yes - other","Text messaging",20,20,6,10,2,6,4,0,10,10,20,2,42,2,Some,"Undergraduate degree","Rock and roll",Invisibility,Happy,"Business person",Health
USA,AL,2022,"12        ",Female,17,Left-Handed,157.5,24.6,33.0,2,Car,5,0.057,85,Walking/Hiking,2,4,3,1,6,5,24.6,"Same length",52,16.5,"Index finger",April,Spring,No,No,Meat,Water,"Mathematics and statistics",6,5,4,"Yes - broadband connection","Cell phone",20,6,1,2,4,5,3,0,1,1,4,1,6,2,"A lot","Graduate degree",Reggae,Fly,Happy,Relative,Health
USA,AL,2022,"12        ",Female,17,Left-Handed,165.1,22.86,66.04,1,Bus,40,0.449,38,Swimming,900,800,900,700,500,850,24.13,"Left foot",88.6,88.8,"Ring finger",July,,No,No,Seafood,Water,Science,6,10,2,"Yes - other","Text messaging",3,7,2,0,4,3,0,0,6,2,20,5,14,0,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Rich,Other,"Wildlife, animals"
USA,AL,2015,"12        ",Female,17,Right-Handed,155.4,21,155.4,1,Car,10,1.353,46,Soccer,,,,,,,21,"Same length",65,65,"Same length",October,Fall,No,No,Breads/Sandwiches,Water,"Mathematics and statistics",7,8,5,"Yes - other","Cell phone",60,65,8,4,8,12,2,0,10,24,24,3,8,5,"A lot","Graduate degree",Country,Telepathy,Healthy,Relative,"International aid"
USA,AL,2023,"12        ",Female,18,Right-Handed,167,22,156,2,Bus,20,0.349,30,Swimming,1000,1000,1000,1000,551,476,22,"Same length",7,8,"Ring finger",November,Fall,No,No,Desserts,Water,Other,5,4,5,"Yes - broadband connection","Internet chat or instant messaging",87,40,27,0,0,0,0,29,42,42,45,3,0,4,"Very little","Some college",Other,Fly,Happy,Other,Environment
USA,AL,2023,"12        ",Female,18,Right-Handed,5�8,29,70,1,Car,13,0.43,5,"Football (American)",3,5,8,1,9,6,28,"Right foot",10,16,"Ring finger",March,Summer,Yes,No,Meat,Water,Other,7,6,5,"Yes - other","Cell phone",6,10,8,6,7,9,12,8,98,7,9,8,8,6,Some,"Graduate degree",Country,Telepathy,Rich,Relative,"Education/Youth development"
USA,AL,2023,"12        ",Female,17,Right-Handed,5'2,23.5,61,1,Car,15,0.386,38,None,134,203,396,620,1000,1000,23.5,"Same length",8,10,"Ring finger",July,Summer,Yes,No,"Rice/Noodle dishes",Juice,Other,8,10,5,"Yes - broadband connection",,100,100,3,4,2,5,,3,8,8,2,6,6,1,"Very little",Other,Other,Invisibility,Rich,Actor,"Arts, culture, sports"
USA,AL,2022,"12        ",Female,18,Right-Handed,175.2,25,100,1,Car,3,0.456,40,Lacrosse,765,508,337,460,738,754,25,"Same length",76.2,76.2,"Same length",December,Summer,No,No,Fruit,Water,Other,5,5,6,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,20,40,1,0,6,10,0,25,1,5,10,23,8,None,"Graduate degree","Rap/Hip hop",Telepathy,Rich,"Coach or club leader","Education/Youth development"
USA,AL,2021,"12        ",Male,18,Right-Handed,183,25,185,1,Car,5,0.379,32,Swimming,765,1000,251,503,251,503,25,"Same length",76,83,"Ring finger",September,Fall,No,No,Seafood,Water,Science,8,9,5,"Yes - other","In person",10,15,15,2,4,7.25,5,10,5,5,47.25,17.5,15,2,"Very little","Graduate degree",Reggae,Telepathy,Rich,Relative,"Wildlife, animals"
USA,AL,2023,"12        ",Male,19,Right-Handed,5'11,10,"180 ",1,Car,10,0.684,56,"Football (American)",500,408,300,400,200,1000,10,"Same length",21,8,"Index finger",October,Summer,No,No,Seafood,Tea,"Mathematics and statistics",8,7,2,"Yes - broadband connection","Text messaging",35,35,6,10,0,64,18,10,12,24,10,48,0,64,"A lot","Graduate degree","Rap/Hip hop",Fly,Rich,Actor,Religious
USA,AL,2022,"12        ",Female,17,Right-Handed,167.6,24.6,167.6,2,Car,15,5.444,38,Running/Jogging,500,500,500,600,200,200,26.4,"Left foot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AL,2015,"12        ",Male,17,Right-Handed,172.7,27.94,182.8,1,Car,40,.6,47,Swimming,,,,,,,27.9,"Right foot",80,75,"Index finger",November,Fall,No,No,Meat,Water,Music,7,11,5,"Yes - broadband connection","Text messaging",70,70,1,0,2,3,1,5,2,3,3,1,0,7,Some,"Graduate degree","Rock and roll","Freeze time",Happy,"Religious figure",Religious
USA,AL,2015,"12        ",Female,16,Right-Handed,163,22,159,1,Car,15,0.509,37,Dancing,,,,,,,22,"Same length",6.5,6.8,"Ring finger",June,Spring,Yes,No,Fruit,Water,History,8,11,3,"Yes - broadband connection","In person",10,7,40,2,8,50,30,0,90,20,90,40,0,10,Some,"Graduate degree",Pop,"Freeze time",Happy,Relative,"International aid"
USA,AL,2022,"12        ",Female,18,Right-Handed,160,23.28,167,1,Car,8,.38,45,Gymnastics,1000,1000,1000,1000,1000,1000,23.28,"Same length",70,70,"Index finger",November,Summer,No,No,Salads,Water,Other,7,9,6,"Yes - dial-up connection",Other,50,50,10,1,2,20,10,0,25,5,50,5,0,5,Some,"Graduate degree",Country,"Freeze time",Happy,"Religious figure","Wildlife, animals"
USA,AL,2021,"12        ",Female,18,Right-Handed,5'9,"25 cm",175.2,1,Car,"10 ",0.426,54,Other,64,519,455,1000,385,1000,25,"Same length",11,9,"Index finger",December,Fall,No,No,Meat,Water,Music,8,9,8,"Yes - broadband connection","In person",4,5,10,40,14,10,1,1,1,12,19,0,40,12,"A lot","High school",Country,Telepathy,Happy,Relative,Religious
USA,AL,2021,"12        ",Female,18,Right-Handed,172,24,172,1,Car,9,0.587,40,Skateboarding/Rollerblading,925,1000,273,497,754,1000,24,"Same length",68,63,"Index finger",August,Fall,No,No,Seafood,Water,Art,6,9,4,"Yes - broadband connection","Cell phone",16,24,4,2,32,3,1,8,8,0,8,2,0,1,"A lot","Undergraduate degree",Other,Fly,Happy,Actor,"International aid"
USA,AL,2023,"12        ",Female,18,Right-Handed,5'4,28,28,1,Car,30,.397,43,None,674,642,807,845,96,829,28,"Same length",100,700,"Index finger",December,Winter,No,No,Pizza/Pasta,Water,Art,7,9,5,"Yes - other","Cell phone",20,40,3,0,0,1,2,4,1,1,4,3,6,1,"Very little","Graduate degree",Pop,Telepathy,Rich,Other,Health
USA,AL,2022,"12        ",Male,18,Right-Handed,6�6,14,198,1,Skateboard/Scooter/Rollerblade,10,,,Basketball,,,,,,,14,"Same length",,9,"Same length",October,Fall,Yes,No,Pizza/Pasta,Juice,Art,6,4,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",15,30,4,1,4,8,3,4,7,3,5,3,12,7,Some,"Some college","Rap/Hip hop","Freeze time",Happy,Relative,Health
USA,AL,2023,"12        ",Male,19,Right-Handed,5'11,10,"180 ",1,Car,10,0.684,56,"Football (American)",500,408,300,400,200,1000,10,"Same length",21,8,"Index finger",October,Summer,No,No,Seafood,Tea,"Mathematics and statistics",8,7,2,"Yes - broadband connection","Text messaging",35,35,6,10,0,64,18,10,12,24,10,48,0,64,"A lot","Graduate degree","Rap/Hip hop",Fly,Rich,Actor,Religious
USA,AL,2022,"12        ",Female,19,Right-Handed,5'7,9,62,1,Bus,15,.527,62,Basketball,444,96,840,214,299,1000,9,"Right foot",10,4,"Ring finger",November,Summer,Yes,No,Seafood,Water,"Mathematics and statistics",5,3-4,4,"Yes - other","Text messaging",15,35,8,6,6,4,6,3,5,7,6,6,6,6,"Very little","High school","Rap/Hip hop",Telepathy,Rich,Actor,Health
USA,AL,2023,"12        ",Male,17,Right-Handed,179,12,50,1,Car,10,19ms,60,Athletics,733,633,561,581,743,733,30,"Same length",11,11,"Same length",June,Summer,No,No,"Rice/Noodle dishes",Water,Science,6,11,4,"Yes - broadband connection","Text messaging",30,45,24,6,4,4,4,9,12,12,10,0,24,2,Some,"Graduate degree","Rap/Hip hop",Telepathy,Famous,Actor,"Wildlife, animals"
USA,AL,2023,"12        ",Female,18,Left-Handed,175,26,120,1,Car,10,84,79,Golf,1000,1000,1000,1000,1000,1000,26,"Same length",50,70,"Index finger",February,Fall,No,No,Meat,Water,"Mathematics and statistics",9,9,4,"Yes - broadband connection","Cell phone",10,5,10,2,5,6,8,8,4,9,9,8,40,25,"Very little","Graduate degree",Pop,Invisibility,Rich,Friend,"Education/Youth development"
USA,AL,2021,"12        ",Female,18,Right-Handed,163,24,155,1,Car,12,0.405,42,Walking/Hiking,800,500,800,700,900,900,23,"Right foot",7,8,"Ring finger",November,Fall,Yes,No,Pizza/Pasta,"Powdered drink",English,8,10,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,6,24,1,15,10,5,0,35,2,55,14,13,0,Some,"Undergraduate degree",Gospel,Telepathy,Happy,"Religious figure",Religious
USA,AL,2013,"11        ",Male,17,Right-Handed,192,24,192,1,Car,12,0.414,36,Tennis,0,250,0,0,1000,250,23,"Right foot",82,90,"Ring finger",January,Summer,Yes,No,Meat,Juice,Music,6,11,3,"Yes - other","Cell phone",10,10,20,2,2,10,1,4,1,1,6,1,16,2,"A lot","Graduate degree","Rock and roll",Telepathy,Happy,"Musician or singer",Health
USA,AL,2015,"12        ",Male,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AL,2023,"12        ",Female,17,Left-Handed,5'0,,,1,Car,5min,,,Running/Jogging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy,Teacher,Health
USA,AL,2022,"12        ",Female,17,Right-Handed,162.5,20,122.4,1,Car,20,0.292,36,Walking/Hiking,600,650,850,1000,890,800,23,"Left foot",7,7,"Same length",March,Spring,No,No,"Rice/Noodle dishes",Water,Art,7,12,4,"Yes - broadband connection","Text messaging",120,200,7,2,5,100,10,8,4,2,2,50,10,3,"Very little","High school","Punk rock",Invisibility,Healthy,"Musician or singer","Arts, culture, sports"
USA,AL,2022,"12        ",Male,17,Right-Handed,180,26.7,182.9,1,Car,15,.698,36,Other,400,300,100,500,700," 900",26.4,"Right foot",82m,160,"Ring finger",May,Fall,No,No,Poultry,Water,History,7,9,3,"Yes - broadband connection","In person",55,58,7,20,0,2,3,14,33,1,14,1,20,0,Some,"Undergraduate degree","Rap/Hip hop","Freeze time",Happy,Teacher,Health
